domain,marker_name,LabChemTestName,lower,upper,source,n_records,n_patients,n_cohort,prop_patients,feature_name,feature_subcategory,code,code_vocabulary,Description,drug_name,VAClassification,percent_of_patients,VAClassification_Description,VAClass
Labs,A1C,HEMOGLOBIN A1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,5108381,348493,735933,0.473539031406392,A1C,"","","","","","",47.3539031406392,"",
Labs,A1C,HGB A1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,1095058,83050,735933,0.112849946938104,A1C,"","","","","","",11.2849946938104,"",
Labs,A1C,HEMOGLOBIN A1c,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,509780,43742,735933,0.0594374759658828,A1C,"","","","","","",5.94374759658828,"",
Labs,A1C,HBA1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,351887,31700,735933,0.0430745733646949,A1C,"","","","","","",4.30745733646949,"",
Labs,A1C,HEMOGLOBIN %A1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,380062,27596,735933,0.0374979787562183,A1C,"","","","","","",3.74979787562183,"",
Labs,A1C,HEMOGLOBIN A1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,312260,23542,735933,0.0319893251151939,A1C,"","","","","","",3.19893251151939,"",
Labs,A1C,HGA1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,313928,20863,735933,0.028349048079105,A1C,"","","","","","",2.8349048079105,"",
Labs,A1C,HEMOGLOBIN A1C*,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,252193,19714,735933,0.0267877646470535,A1C,"","","","","","",2.67877646470535,"",
Labs,A1C,A1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,215366,17812,735933,0.0242032902451718,A1C,"","","","","","",2.42032902451718,"",
Labs,A1C,HGB A1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,174632,15803,735933,0.0214734221729424,A1C,"","","","","","",2.14734221729424,"",
Labs,A1C,A1C HGB,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,266567,15590,735933,0.021183993651596,A1C,"","","","","","",2.1183993651596,"",
Labs,A1C,HGB A1C % (PRIOR.NOV/2019),3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,154289,15552,735933,0.0211323585163323,A1C,"","","","","","",2.11323585163323,"",
Labs,A1C,HGB-A1C (BU/BH/SY/CN),3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,226412,15234,735933,0.0207002539633363,A1C,"","","","","","",2.07002539633363,"",
Labs,A1C,HEMOGLOBIN A1C (5/98-4/10),3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,76770,14821,735933,0.0201390615721812,A1C,"","","","","","",2.01390615721812,"",
Labs,A1C,HGBA1c,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,155094,12950,735933,0.0175967105701198,A1C,"","","","","","",1.75967105701198,"",
Labs,A1C,A1C HEMOGLOBIN (DVAMC),3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,140565,12296,735933,0.0167080427158451,A1C,"","","","","","",1.67080427158451,"",
Labs,A1C,HEMOGLOBIN A1C (LAB),3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,142465,12113,735933,0.01645937877497,A1C,"","","","","","",1.645937877497,"",
Labs,A1C,A1c,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,133234,11898,735933,0.0161672326149255,A1C,"","","","","","",1.61672326149255,"",
Labs,A1C,HEMOGLOBIN A1C (Inactive 05/30/2015),3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,73282,11603,735933,0.0157663809069576,A1C,"","","","","","",1.57663809069576,"",
Labs,A1C,"HGBA1C(OLD) D'CD JUN 14, 2011",3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,64294,11560,735933,0.0157079516749487,A1C,"","","","","","",1.57079516749487,"",
Labs,A1C,HgB A1c,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,132526,11138,735933,0.0151345299096521,A1C,"","","","","","",1.51345299096521,"",
Labs,A1C,Glyco Hgb A1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,145067,10599,735933,0.0144021262805174,A1C,"","","","","","",1.44021262805174,"",
Labs,A1C,ZZHgB-A1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,36704,10129,735933,0.0137634811864667,A1C,"","","","","","",1.37634811864667,"",
Labs,A1C,ZHEMOGLOBIN A1C THRU 5/6/15,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,77856,9677,735933,0.0131492948406988,A1C,"","","","","","",1.31492948406988,"",
Labs,A1C,A1C GLYCOHEMOGLOBIN,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,121871,9526,735933,0.0129441131189932,A1C,"","","","","","",1.29441131189932,"",
Labs,A1C,HGB A1C(D/C 7/1/15),3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,66051,9413,735933,0.0127905665325512,A1C,"","","","","","",1.27905665325512,"",
Labs,A1C,A1C%*ia,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,155426,9277,735933,0.0126057671010812,A1C,"","","","","","",1.26057671010812,"",
Labs,A1C,HEMOGLOBIN A1C(POST11/14/90),3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,101258,8963,735933,0.0121790978254814,A1C,"","","","","","",1.21790978254814,"",
Labs,A1C,GLYCOLATED HEMOGLOBIN A1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,105599,8388,735933,0.0113977766997811,A1C,"","","","","","",1.13977766997811,"",
Labs,A1C,HGBA1C,3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,97093,8242,735933,0.0111993890748207,A1C,"","","","","","",1.11993890748207,"",
Labs,A1C,HEMOGLOBIN A1C(wx),3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,80865,8190,735933,0.0111287304686704,A1C,"","","","","","",1.11287304686704,"",
Labs,A1C,*****A1C*****(DO NOT ORDER),3,20,Boston:phenomics.va.ornl.gov/web/api/phenotype/attachments/87/download,79758,8181,735933,0.011116501094529,A1C,"","","","","","",1.1116501094529,"",
