HEALTHFACTORTYPE,SmokingFactor
1 MONTH SMOKING NO,UNKNOWN
1 MONTH SMOKING YES,CURRENT SMOKER
1 YEAR SMOKING NO,UNKNOWN
1 YEAR SMOKING YES,CURRENT SMOKER
1QUIT TOBACCO >7 YEARS AGO,FORMER SMOKER
2 MONTHS SMOKING NO,UNKNOWN
2 MONTHS SMOKING YES,CURRENT SMOKER
2 WK SMOKING NO,UNKNOWN
2 WK SMOKING YES,CURRENT SMOKER
3 MONTHS SMOKING NO,UNKNOWN
3 MONTHS SMOKING YES,CURRENT SMOKER
52O HISTORY OF SMOKING,UNKNOWN
583 CURRENT NON-SMOKER,UNKNOWN
583 CURRENT TOBACCO USER,CURRENT SMOKER
583 SMOKELESS TOBACCO USER,UNKNOWN
583 TOBACCO,UNKNOWN
583 TOBACCO RESOLUTION CATEGORY,UNKNOWN
6 MONTHS SMOKING NO,UNKNOWN
6 MONTHS SMOKING YES,CURRENT SMOKER
621 NEGATIVE TOBACCO SCREENING,unknown
621 POSITIVE TOBACCO SCREENING,CURRENT SMOKER
678 CURRENT TOBACCO USER,CURRENT SMOKER
678 TOBACCO,UNKNOWN
678 TOBACCO MEDS NO-SHOW/NO RESPONSE,CURRENT SMOKER
678 TOBACCO OFFERRED PT MEDS (PROVIDER),CURRENT SMOKER
688 ID SMOKING CESSATION SESSION 1,CURRENT SMOKER
688 ID SMOKING CESSATION SESSION 2,CURRENT SMOKER
688 ID SMOKING CESSATION SESSION 3,CURRENT SMOKER
688 ID SMOKING CESSATION SESSION 4,CURRENT SMOKER
688 ID SMOKING CESSATION SESSION 5,CURRENT SMOKER
688 ID SMOKING CESSATION SESSION 6,CURRENT SMOKER
688 ID SMOKING CESSATION SESSION 7,CURRENT SMOKER
688 ID SMOKING CESSATION SESSION 8,CURRENT SMOKER
688 TOBACCO,UNKNOWN
688 TOBACCO >20 YRS,UNKNOWN
688 TOBACCO >30 A DAY,UNKNOWN
688 TOBACCO 10 OR LESS A DAY,UNKNOWN
688 TOBACCO 11-20 A DAY,UNKNOWN
688 TOBACCO 11-20 YRS,UNKNOWN
688 TOBACCO 21-30 A DAY,CURRENT SMOKER
688 TOBACCO 5-10 YRS,UNKNOWN
688 TOBACCO ACTIVITY AFTER SEX,UNKNOWN
688 TOBACCO ACTIVITY ALCOHOL,CURRENT SMOKER
688 TOBACCO ACTIVITY ANGRY,UNKNOWN
688 TOBACCO ACTIVITY BORED,CURRENT SMOKER
688 TOBACCO ACTIVITY BREAK,UNKNOWN
688 TOBACCO ACTIVITY CIG SMELL,UNKNOWN
688 TOBACCO ACTIVITY COFFEE,CURRENT SMOKER
688 TOBACCO ACTIVITY DRIVING,UNKNOWN
688 TOBACCO ACTIVITY OTHER,UNKNOWN
688 TOBACCO ACTIVITY STRESSED,CURRENT SMOKER
688 TOBACCO ACTIVITY TV,CURRENT SMOKER
688 TOBACCO DEPENDENCE <5 MIN,FORMER SMOKER
688 TOBACCO DEPENDENCE >60 MINS,CURRENT SMOKER
688 TOBACCO DEPENDENCE 31-60 MINS,CURRENT SMOKER
688 TOBACCO DEPENDENCE 5-30 MINS,CURRENT SMOKER
688 TOBACCO DEPENDENCE SCORE,CURRENT SMOKER
688 TOBACCO LESS THAN 5 YRS,UNKNOWN
688 TOBACCO PROD CIGARETTES,UNKNOWN
688 TOBACCO PROD CIGARS,UNKNOWN
688 TOBACCO PROD PIPE,UNKNOWN
688 TOBACCO PROD SMOKELESS,UNKNOWN
688 TOBACCO QUIT ATTEMPTS <7,CURRENT SMOKER
688 TOBACCO QUIT ATTEMPTS 2-4 WKS,CURRENT SMOKER
688 TOBACCO QUIT ATTEMPTS 7 OR MORE,CURRENT SMOKER
688 TOBACCO QUIT COLD TURKEY,FORMER SMOKER
688 TOBACCO QUIT COMBINATION,FORMER SMOKER
688 TOBACCO QUIT FAMILY,FORMER SMOKER
688 TOBACCO QUIT GUM,FORMER SMOKER
688 TOBACCO QUIT HEALTH,FORMER SMOKER
688 TOBACCO QUIT LOZENGE,FORMER SMOKER
688 TOBACCO QUIT OTHER,FORMER SMOKER
688 TOBACCO QUIT OTHER METHOD,FORMER SMOKER
688 TOBACCO QUIT PATCH,FORMER SMOKER
688 TOBACCO QUIT SAVE MONEY,FORMER SMOKER
688 TOBACCO QUIT ZYBAN,FORMER SMOKER
688 TOBACCO REMINDER FACTORS,UNKNOWN
688 TOBACCO STAYED QUIT < 2WKS,FORMER SMOKER
688 TOBACCO STAYED QUIT > 1 YR,FORMER SMOKER
688 TOBACCO STAYED QUIT 2-4 WKS,FORMER SMOKER
688 TOBACCO STAYED QUIT 5 WKS-11 MOS,FORMER SMOKER
A CURRENT TOBACCO USER,CURRENT SMOKER
A LIFETIME NON-USER OF TOBACCO,NEVER SMOKER
A QUIT TOBACCO >7 YEARS AGO,FORMER SMOKER
A QUIT TOBACCO IN THE LAST 12 MONTHS,FORMER SMOKER
AAA CURENT SMOKER,CURRENT SMOKER
AAA CURRENT SMOKER,CURRENT SMOKER
AAA HISTORY OF SMOKING,UNKNOWN
AAA HX OF SMOKING,UNKNOWN
AAA LIFETIME NON-SMOKER,NEVER SMOKER
AAA NEVER SMOKED,NEVER SMOKER
AAA PREVIOUS SMOKER,FORMER SMOKER
AAA SCREEN NON SMOKER,unknown
AAA TOBACCO,UNKNOWN
AADE7 STOP TOBACCO,UNKNOWN
ACCEPTED TOB REFRL BY PROVDR,CURRENT SMOKER
